CONTINET,COUNTRY,CAPITAL,LATITUDE,LONGITUDE
EUROPE,GREECE,ATHENS,37.9833,23.7333
EUROPE,AZERBAIJAN,BAKU,40.3953,49.8622
EUROPE,GERMANY,BERLIN,52.5218,13.4015
EUROPE,BELGIUM,BRUSSELS,50.8333,4.3333
EUROPE,HUNGARY,BUDAPEST,47.5000,19.0833
EUROPE,IRELAND,DUBLIN,53.3331,-6.2489
EUROPE,FINLAND,HELSINKI,60.1756,24.9341
EUROPE,BELARUS,MINSK,53.9000,27.5666
EUROPE,FRANCE,PARIS,48.8667,2.3333
EUROPE,CZECH REPUBLIC,PRAGUE,50.0833,14.4660
EUROPE,ICELAND,REYKJAVIK,64.1500,-21.9500
EUROPE,LATVIA,RIGA,56.9500,24.1000
EUROPE,ITALY,ROME,41.8960,12.4833
EUROPE,BOSNIA AND HERZEGOVINA,SARAJEVO,43.8500,18.3830
EUROPE,BULGARIA,SOFIA,42.6833,23.3167
EUROPE,ALBANIA,TIRANA,41.3275,19.8189
EUROPE,AUSTRIA,VIENNA,48.2000,16.3666
